"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Ben Nelson (D)";"Ben Nelson>Bob Kerrey>Anarchism";"Ben Nelson>Al-Qaeda>Antisemitism";"Ben Nelson>Nebraska>Personal property>Capitalism";"Ben Nelson>Nebraska>African Americans>Christianity";"Ben Nelson>Kay A. Orr>George H. W. Bush>Communism";"Ben Nelson>Supreme Court of the United States>Conservatism";"Ben Nelson>Nebraska>Abraham Lincoln>Democracy";"Ben Nelson>Republican Party (United States)>Fascism";"Ben Nelson>Nebraska>Association football>Feminism";"Ben Nelson>Al-Qaeda>Islamophobia";"Ben Nelson>Kay A. Orr>Ronald Reagan>Left-wing politics";"Ben Nelson>Supreme Court of the United States>Liberalism";"Ben Nelson>Al-Qaeda>Marxism";"Ben Nelson>Nebraska>Abraham Lincoln>Nationalism";"Ben Nelson>Mike Johanns>American Civil Liberties Union>Neo-Nazism";"Ben Nelson>Nebraska>Montana>Protestantism";"Ben Nelson>Republican Party (United States)>Right-wing politics";"Ben Nelson>Nebraska>Hindu>Secularism";"Ben Nelson>Nebraska>Montana>Socialism";"Ben Nelson>Nebraska>Abraham Lincoln>White supremacy"
"Mike Johanns (R)";"Mike Johanns>Bob Kerrey>Anarchism";"Mike Johanns>Judaism>Antisemitism";"Mike Johanns>Nebraska>Personal property>Capitalism";"Mike Johanns>Nebraska>African Americans>Christianity";"Mike Johanns>American Civil Liberties Union>Communism";"Mike Johanns>Republican Party (United States)>Conservatism";"Mike Johanns>Brazil>Democracy";"Mike Johanns>Republican Party (United States)>Fascism";"Mike Johanns>Nebraska>Association football>Feminism";"Mike Johanns>Chuck Hagel>McCarthyism>Islamophobia";"Mike Johanns>Christian right>Left-wing politics";"Mike Johanns>Christianity>Liberalism";"Mike Johanns>Christianity>Marxism";"Mike Johanns>Judaism>Nationalism";"Mike Johanns>American Civil Liberties Union>Neo-Nazism";"Mike Johanns>Christianity>Protestantism";"Mike Johanns>Republican Party (United States)>Right-wing politics";"Mike Johanns>Christianity>Secularism";"Mike Johanns>Christianity>Socialism";"Mike Johanns>Nebraska>Abraham Lincoln>White supremacy"
"John Ensign (R)";"John Ensign>Libertarian Party (United States)>Anarchism";"John Ensign>The New York Times>Antisemitism";"John Ensign>Jimmy Carter>Capitalism";"John Ensign>Nevada>African Americans>Christianity";"John Ensign>Jimmy Carter>Communism";"John Ensign>Republican Party (United States)>Conservatism";"John Ensign>Nevada>Abraham Lincoln>Democracy";"John Ensign>Jimmy Carter>Fascism";"John Ensign>Roseville, California>Marriage>Feminism";"John Ensign>Taliban>Islamophobia";"John Ensign>California>World War II>Left-wing politics";"John Ensign>Nevada>Separation of powers>Liberalism";"John Ensign>Nevada>China>Marxism";"John Ensign>Nevada>Abraham Lincoln>Nationalism";"John Ensign>United States>Henry Ford>Neo-Nazism";"John Ensign>California>Protestantism";"John Ensign>Republican Party (United States)>Right-wing politics";"John Ensign>Nevada>Bangladesh>Secularism";"John Ensign>Nevada>China>Socialism";"John Ensign>Jimmy Carter>White supremacy"
"Dean Heller (R)";"Dean Heller>Nevada>Oligarchy>Anarchism";"Dean Heller>John Ensign>The New York Times>Antisemitism";"Dean Heller>Nevada>Jimmy Carter>Capitalism";"Dean Heller>The Church of Jesus Christ of Latter-day Saints>Christianity";"Dean Heller>Nevada>Oligarchy>Communism";"Dean Heller>Republican Party (United States)>Conservatism";"Dean Heller>Nevada>Abraham Lincoln>Democracy";"Dean Heller>Republican Party (United States)>Fascism";"Dean Heller>Castro Valley, California>Marriage>Feminism";"Dean Heller>Nevada>Bangladesh>Islamophobia";"Dean Heller>Republican Party (United States)>Two-party system>Left-wing politics";"Dean Heller>Nevada>Separation of powers>Liberalism";"Dean Heller>Nevada>China>Marxism";"Dean Heller>Nevada>Abraham Lincoln>Nationalism";"Dean Heller>United States House of Representatives>List of political parties in the United States>Neo-Nazism";"Dean Heller>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Dean Heller>Republican Party (United States)>Right-wing politics";"Dean Heller>Nevada>Bangladesh>Secularism";"Dean Heller>Nevada>China>Socialism";"Dean Heller>Nevada>Abraham Lincoln>White supremacy"
"Harry Reid (D)";"Harry Reid>Ukraine>Anarchism";"Harry Reid>The New York Times>Antisemitism";"Harry Reid>Documentary film>Capitalism";"Harry Reid>The Church of Jesus Christ of Latter-day Saints>Christianity";"Harry Reid>Party leaders of the United States Senate>Hubert Humphrey>Communism";"Harry Reid>Republican Party (United States)>Conservatism";"Harry Reid>Chuck Schumer>Colin Powell>Democracy";"Harry Reid>Republican Party (United States)>Fascism";"Harry Reid>McCarthyism>Feminism";"Harry Reid>McCarthyism>Islamophobia";"Harry Reid>Party leaders of the United States Senate>Political party>Left-wing politics";"Harry Reid>Party leaders of the United States Senate>Political party>Liberalism";"Harry Reid>Chuck Schumer>Al-Qaeda>Marxism";"Harry Reid>Chuck Schumer>Germany>Nationalism";"Harry Reid>Party leaders of the United States Senate>List of political parties in the United States>Neo-Nazism";"Harry Reid>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Harry Reid>Republican Party (United States)>Right-wing politics";"Harry Reid>Chuck Schumer>Theocracy>Secularism";"Harry Reid>Bill Frist>North Korea>Socialism";"Harry Reid>McCarthyism>White supremacy"
"Jeanne Shaheen (D)";"Jeanne Shaheen>Libertarian Party (United States)>Anarchism";"Jeanne Shaheen>Hezbollah>Antisemitism";"Jeanne Shaheen>New Hampshire>American Revolution>Capitalism";"Jeanne Shaheen>New Hampshire>African Americans>Christianity";"Jeanne Shaheen>Governor of New Hampshire>Head of state>Communism";"Jeanne Shaheen>Republican Party (United States)>Conservatism";"Jeanne Shaheen>New Hampshire>American Revolution>Democracy";"Jeanne Shaheen>Republican Party (United States)>Fascism";"Jeanne Shaheen>New Hampshire>Association football>Feminism";"Jeanne Shaheen>Democratic Party (United States)>White supremacy>Islamophobia";"Jeanne Shaheen>St. Charles, Missouri>Coca-Cola>Left-wing politics";"Jeanne Shaheen>New Hampshire>American Revolution>Liberalism";"Jeanne Shaheen>Governor of New Hampshire>Head of state>Marxism";"Jeanne Shaheen>Governor of New Hampshire>Head of state>Nationalism";"Jeanne Shaheen>Democratic Party (United States)>White supremacy>Neo-Nazism";"Jeanne Shaheen>New Hampshire>England>Protestantism";"Jeanne Shaheen>Republican Party (United States)>Right-wing politics";"Jeanne Shaheen>New Hampshire>American Revolution>Secularism";"Jeanne Shaheen>Jim Risch>North Korea>Socialism";"Jeanne Shaheen>New Hampshire>Asian Americans>White supremacy"
"Kelly Ayotte (R)";"Kelly Ayotte>New Hampshire>Libertarian Party (United States)>Anarchism";"Kelly Ayotte>Terrorism>Antisemitism";"Kelly Ayotte>New Hampshire>American Revolution>Capitalism";"Kelly Ayotte>New Hampshire>African Americans>Christianity";"Kelly Ayotte>Nashua, New Hampshire>Industrial Revolution>Communism";"Kelly Ayotte>Supreme Court of the United States>Conservatism";"Kelly Ayotte>New Hampshire>American Revolution>Democracy";"Kelly Ayotte>Republican Party (United States)>Fascism";"Kelly Ayotte>New Hampshire>Association football>Feminism";"Kelly Ayotte>Independent politician>Suffrage>Islamophobia";"Kelly Ayotte>Trade union>Left-wing politics";"Kelly Ayotte>Trade union>Liberalism";"Kelly Ayotte>Trade union>Marxism";"Kelly Ayotte>Terrorism>Nationalism";"Kelly Ayotte>Terrorism>Neo-Nazism";"Kelly Ayotte>New Hampshire>England>Protestantism";"Kelly Ayotte>Republican Party (United States)>Right-wing politics";"Kelly Ayotte>Trade union>Secularism";"Kelly Ayotte>Trade union>Socialism";"Kelly Ayotte>New Hampshire>Asian Americans>White supremacy"
"Bob Menendez (D)";"Bob Menendez>Ukraine>Anarchism";"Bob Menendez>The New York Times>Antisemitism";"Bob Menendez>Likud>Capitalism";"Bob Menendez>Cyprus>Christianity";"Bob Menendez>New Jersey>Industrial Revolution>Communism";"Bob Menendez>New Jersey>Supreme Court of the United States>Conservatism";"Bob Menendez>Dominican Republic>Democracy";"Bob Menendez>Fidel Castro>Fascism";"Bob Menendez>New Jersey>Matrilineality>Feminism";"Bob Menendez>The New York Times>Antisemitism>Islamophobia";"Bob Menendez>Kosovo War>Left-wing politics";"Bob Menendez>Dominican Republic>Liberalism";"Bob Menendez>People's Mujahedin of Iran>Marxism";"Bob Menendez>Kosovo War>Nationalism";"Bob Menendez>John Kerry>Terrorism>Neo-Nazism";"Bob Menendez>Cyprus>Albania>Protestantism";"Bob Menendez>Likud>Right-wing politics";"Bob Menendez>Cyprus>Azerbaijan>Secularism";"Bob Menendez>Kosovo>Socialism";"Bob Menendez>Fidel Castro>White supremacy"
"Frank Lautenberg (D)";"Frank Lautenberg>New Jersey>Industrial Revolution>Anarchism";"Frank Lautenberg>The New York Times>Antisemitism";"Frank Lautenberg>Economics>Capitalism";"Frank Lautenberg>Devil>Christianity";"Frank Lautenberg>International Monetary Fund>Communism";"Frank Lautenberg>Supreme Court of the United States>Conservatism";"Frank Lautenberg>International Monetary Fund>Democracy";"Frank Lautenberg>Ronald Reagan>Fascism";"Frank Lautenberg>LGBT>Feminism";"Frank Lautenberg>Affirmative action>Islamophobia";"Frank Lautenberg>Politics of the United States>Left-wing politics";"Frank Lautenberg>New Jersey>Liberalism";"Frank Lautenberg>New Jersey>Industrial Revolution>Marxism";"Frank Lautenberg>World War II>Nationalism";"Frank Lautenberg>New York City>Terrorism>Neo-Nazism";"Frank Lautenberg>New Jersey>Delaware>Protestantism";"Frank Lautenberg>Ronald Reagan>Right-wing politics";"Frank Lautenberg>New Jersey>American Revolution>Secularism";"Frank Lautenberg>New Jersey>Industrial Revolution>Socialism";"Frank Lautenberg>Ronald Reagan>White supremacy"
"Jeff Bingaman (D)";"Jeff Bingaman>Government>Anarchism";"Jeff Bingaman>The New York Times>Antisemitism";"Jeff Bingaman>Government>Capitalism";"Jeff Bingaman>Frank Murkowski>Alaska>Christianity";"Jeff Bingaman>Government>Communism";"Jeff Bingaman>Government>Conservatism";"Jeff Bingaman>Government>Democracy";"Jeff Bingaman>Government>Fascism";"Jeff Bingaman>Government>Feminism";"Jeff Bingaman>Frank Murkowski>Nepotism>Islamophobia";"Jeff Bingaman>Government>Left-wing politics";"Jeff Bingaman>Government>Liberalism";"Jeff Bingaman>Ron Wyden>Trade union>Marxism";"Jeff Bingaman>Government>Nationalism";"Jeff Bingaman>Ron Wyden>Nazi Germany>Neo-Nazism";"Jeff Bingaman>Ron Wyden>Judaism>Protestantism";"Jeff Bingaman>Government>Right-wing politics";"Jeff Bingaman>Ron Wyden>Religion>Secularism";"Jeff Bingaman>Government>Socialism";"Jeff Bingaman>Ron Wyden>Trent Lott>White supremacy"
"Tom Udall (D)";"Tom Udall>New Mexico>Personal property>Anarchism";"Tom Udall>New Mexico>The New York Times>Antisemitism";"Tom Udall>New Mexico>Personal property>Capitalism";"Tom Udall>New Mexico>Alaska>Christianity";"Tom Udall>New Mexico>Manhattan Project>Communism";"Tom Udall>Republican Party (United States)>Conservatism";"Tom Udall>Attorney General of New Mexico>Executive (government)>Democracy";"Tom Udall>Republican Party (United States)>Fascism";"Tom Udall>LGBT>Feminism";"Tom Udall>Gary Johnson>Separation of church and state>Islamophobia";"Tom Udall>New Mexico>World War II>Left-wing politics";"Tom Udall>Martin Heinrich>Crime>Liberalism";"Tom Udall>New Mexico>Personal property>Marxism";"Tom Udall>New Mexico>World War II>Nationalism";"Tom Udall>Gary Johnson>American Civil Liberties Union>Neo-Nazism";"Tom Udall>England>Protestantism";"Tom Udall>Republican Party (United States)>Right-wing politics";"Tom Udall>New Mexico>Viceroy>Secularism";"Tom Udall>Martin Heinrich>Minimum wage>Socialism";"Tom Udall>New Mexico>Asian Americans>White supremacy"
"Kirsten Gillibrand (D)";"Kirsten Gillibrand>Manhattan>Anarchism";"Kirsten Gillibrand>The New York Times>Antisemitism";"Kirsten Gillibrand>New York (state)>Democracy>Capitalism";"Kirsten Gillibrand>New York (state)>Finger Lakes>Christianity";"Kirsten Gillibrand>American Civil Liberties Union>Communism";"Kirsten Gillibrand>New York (state)>Democracy>Conservatism";"Kirsten Gillibrand>Chuck Schumer>Colin Powell>Democracy";"Kirsten Gillibrand>New York (state)>Democracy>Fascism";"Kirsten Gillibrand>New York (state)>Democracy>Feminism";"Kirsten Gillibrand>New York (state)>Muslim>Islamophobia";"Kirsten Gillibrand>Blue Dog Coalition>Left-wing politics";"Kirsten Gillibrand>New York (state)>New Jersey>Liberalism";"Kirsten Gillibrand>New York (state)>Democracy>Marxism";"Kirsten Gillibrand>New York (state)>Democracy>Nationalism";"Kirsten Gillibrand>American Civil Liberties Union>Neo-Nazism";"Kirsten Gillibrand>New York (state)>Long Island>Protestantism";"Kirsten Gillibrand>Conservative Party of New York State>Right-wing politics";"Kirsten Gillibrand>New York (state)>Orthodox Judaism>Secularism";"Kirsten Gillibrand>New York (state)>Democracy>Socialism";"Kirsten Gillibrand>New York (state)>North Carolina>White supremacy"
"Charles Schumer (D)";"Chuck Schumer>Theocracy>Anarchism";"Chuck Schumer>Al-Qaeda>Antisemitism";"Chuck Schumer>Soviet Union>Capitalism";"Chuck Schumer>South Carolina>Alabama>Christianity";"Chuck Schumer>Germany>Communism";"Chuck Schumer>Rush Limbaugh>Conservatism";"Chuck Schumer>Colin Powell>Democracy";"Chuck Schumer>Soviet Union>Fascism";"Chuck Schumer>Roe v. Wade>Feminism";"Chuck Schumer>Al-Qaeda>Islamophobia";"Chuck Schumer>Rush Limbaugh>Left-wing politics";"Chuck Schumer>Libya>Liberalism";"Chuck Schumer>Al-Qaeda>Marxism";"Chuck Schumer>Germany>Nationalism";"Chuck Schumer>Kirsten Gillibrand>American Civil Liberties Union>Neo-Nazism";"Chuck Schumer>Long Island>Protestantism";"Chuck Schumer>Republican Party (United States)>Right-wing politics";"Chuck Schumer>Germany>Secularism";"Chuck Schumer>Theocracy>Anarchism>Socialism";"Chuck Schumer>New York (state)>North Carolina>White supremacy"
"Kay Hagan (D)";"Kay Hagan>Elizabeth Dole>Feminism>Anarchism";"Kay Hagan>North Carolina>Slavery>Antisemitism";"Kay Hagan>North Carolina>American Revolution>Capitalism";"Kay Hagan>North Carolina>Evangelicalism>Christianity";"Kay Hagan>North Carolina>Jimmy Carter>Communism";"Kay Hagan>Republican Party (United States)>Conservatism";"Kay Hagan>North Carolina>American Revolution>Democracy";"Kay Hagan>Republican Party (United States)>Fascism";"Kay Hagan>North Carolina>Slavery>Feminism";"Kay Hagan>North Carolina>Slavery>Islamophobia";"Kay Hagan>North Carolina>Ku Klux Klan>Left-wing politics";"Kay Hagan>North Carolina>American Revolution>Liberalism";"Kay Hagan>North Carolina>Guerrilla warfare>Marxism";"Kay Hagan>North Carolina>Guerrilla warfare>Nationalism";"Kay Hagan>North Carolina>Ku Klux Klan>Neo-Nazism";"Kay Hagan>North Carolina>Ku Klux Klan>Protestantism";"Kay Hagan>Republican Party (United States)>Right-wing politics";"Kay Hagan>North Carolina>American Revolution>Secularism";"Kay Hagan>North Carolina>Guerrilla warfare>Socialism";"Kay Hagan>North Carolina>White supremacy"
"Richard Burr (R)";"Richard Burr>Libertarian Party (United States)>Anarchism";"Richard Burr>The New York Times>Antisemitism";"Richard Burr>North Carolina>American Revolution>Capitalism";"Richard Burr>good faith>Altruism>Christianity";"Richard Burr>North Carolina>Jimmy Carter>Communism";"Richard Burr>Supreme Court of the United States>Conservatism";"Richard Burr>North Carolina>American Revolution>Democracy";"Richard Burr>Republican Party (United States)>Fascism";"Richard Burr>good faith>Affirmative action>Feminism";"Richard Burr>good faith>Affirmative action>Islamophobia";"Richard Burr>North Carolina>Ku Klux Klan>Left-wing politics";"Richard Burr>Supreme Court of the United States>Liberalism";"Richard Burr>North Carolina>Guerrilla warfare>Marxism";"Richard Burr>good faith>Morality>Nationalism";"Richard Burr>North Carolina>Ku Klux Klan>Neo-Nazism";"Richard Burr>North Carolina>Ku Klux Klan>Protestantism";"Richard Burr>Republican Party (United States)>Right-wing politics";"Richard Burr>good faith>Belief>Secularism";"Richard Burr>good faith>Altruism>Socialism";"Richard Burr>North Carolina>White supremacy"
"Kent Conrad (D)";"Kent Conrad>North Dakota>Libertarian Party (United States)>Anarchism";"Kent Conrad>North Dakota>Franklin D. Roosevelt>Antisemitism";"Kent Conrad>Byron Dorgan>Documentary film>Capitalism";"Kent Conrad>North Dakota>Alaska>Christianity";"Kent Conrad>North Dakota>Germany>Communism";"Kent Conrad>Supreme Court of the United States>Conservatism";"Kent Conrad>Patty Murray>Osama bin Laden>Democracy";"Kent Conrad>North Dakota>Republican Party (United States)>Fascism";"Kent Conrad>Bismarck, North Dakota>Marriage>Feminism";"Kent Conrad>Democratic Party (United States)>White supremacy>Islamophobia";"Kent Conrad>Free trade>Left-wing politics";"Kent Conrad>Supreme Court of the United States>Liberalism";"Kent Conrad>Bismarck, North Dakota>City>Marxism";"Kent Conrad>North Dakota>Germany>Nationalism";"Kent Conrad>Byron Dorgan>Michael Moore>Neo-Nazism";"Kent Conrad>North Dakota>Manitoba>Protestantism";"Kent Conrad>Free trade>Right-wing politics";"Kent Conrad>Unitarian Universalism>Secularism";"Kent Conrad>North Dakota>Montana>Socialism";"Kent Conrad>North Dakota>African Americans>White supremacy"
"John Hoeven (R)";"John Hoeven>North Dakota>Libertarian Party (United States)>Anarchism";"John Hoeven>North Dakota>Franklin D. Roosevelt>Antisemitism";"John Hoeven>Byron Dorgan>Documentary film>Capitalism";"John Hoeven>North Dakota>Alaska>Christianity";"John Hoeven>North Dakota>Germany>Communism";"John Hoeven>Republican Party (United States)>Conservatism";"John Hoeven>Governor of North Dakota>Head of state>Democracy";"John Hoeven>Republican Party (United States)>Fascism";"John Hoeven>Ed Schafer>Internet>Feminism";"John Hoeven>Republican Party (United States)>Affirmative action>Islamophobia";"John Hoeven>Byron Dorgan>Michael Moore>Left-wing politics";"John Hoeven>Republican Party (United States)>Two-party system>Liberalism";"John Hoeven>Governor of North Dakota>Head of state>Marxism";"John Hoeven>North Dakota>Germany>Nationalism";"John Hoeven>Byron Dorgan>Michael Moore>Neo-Nazism";"John Hoeven>North Dakota>Manitoba>Protestantism";"John Hoeven>Republican Party (United States)>Right-wing politics";"John Hoeven>North Dakota>Germany>Secularism";"John Hoeven>North Dakota>Montana>Socialism";"John Hoeven>North Dakota>African Americans>White supremacy"
"Sherrod Brown (D)";"Sherrod Brown>Ohio>Thomas Jefferson>Anarchism";"Sherrod Brown>Ohio>United Church of Christ>Antisemitism";"Sherrod Brown>Joseph Stalin>Capitalism";"Sherrod Brown>Ohio>African Americans>Christianity";"Sherrod Brown>Indira Gandhi>Communism";"Sherrod Brown>Republican Party (United States)>Conservatism";"Sherrod Brown>Ohio>American Revolution>Democracy";"Sherrod Brown>Joseph Stalin>Fascism";"Sherrod Brown>Rob Portman>Political philosophy>Feminism";"Sherrod Brown>Ohio>Muslim>Islamophobia";"Sherrod Brown>Rob Portman>University of Michigan>Left-wing politics";"Sherrod Brown>Joseph Stalin>Liberalism";"Sherrod Brown>Joseph Stalin>Marxism";"Sherrod Brown>Ohio>Archaeological culture>Nationalism";"Sherrod Brown>Rob Portman>LGBT rights opposition>Neo-Nazism";"Sherrod Brown>Ohio>African Americans>Protestantism";"Sherrod Brown>Republican Party (United States)>Right-wing politics";"Sherrod Brown>Ohio>American Revolution>Secularism";"Sherrod Brown>Joseph Stalin>Socialism";"Sherrod Brown>Joseph Stalin>White supremacy"
"Rob Portman (R)";"Rob Portman>Conservatism>Anarchism";"Rob Portman>Conservatism>Antisemitism";"Rob Portman>Afghanistan>Capitalism";"Rob Portman>Anthropology>Christianity";"Rob Portman>Afghanistan>Communism";"Rob Portman>El Salvador>Conservatism";"Rob Portman>Brazil>Democracy";"Rob Portman>Afghanistan>Fascism";"Rob Portman>Conservatism>Feminism";"Rob Portman>Saudi Arabia>Allah>Islamophobia";"Rob Portman>Conservatism>Left-wing politics";"Rob Portman>Conservatism>Liberalism";"Rob Portman>China>Marxism";"Rob Portman>Afghanistan>Nationalism";"Rob Portman>LGBT rights opposition>Neo-Nazism";"Rob Portman>Anthropology>Protestantism";"Rob Portman>Conservatism>Right-wing politics";"Rob Portman>Conservatism>Secularism";"Rob Portman>China>Socialism";"Rob Portman>Afghanistan>White supremacy"
"Jim Inhofe (R)";"Jim Inhofe>Ukraine>Anarchism";"Jim Inhofe>Bible>Antisemitism";"Jim Inhofe>Ronald Reagan>Capitalism";"Jim Inhofe>Abraham>Christianity";"Jim Inhofe>Oklahoma>Jimmy Carter>Communism";"Jim Inhofe>Republican Party (United States)>Conservatism";"Jim Inhofe>David L. Boren>Socialism>Democracy";"Jim Inhofe>Ronald Reagan>Fascism";"Jim Inhofe>LGBT>Feminism";"Jim Inhofe>Hate crime>Islamophobia";"Jim Inhofe>Ronald Reagan>Left-wing politics";"Jim Inhofe>Christianity>Liberalism";"Jim Inhofe>Christianity>Marxism";"Jim Inhofe>World War II>Nationalism";"Jim Inhofe>Gestapo>Neo-Nazism";"Jim Inhofe>Bible>Protestantism";"Jim Inhofe>Ronald Reagan>Right-wing politics";"Jim Inhofe>Christianity>Secularism";"Jim Inhofe>Christianity>Socialism";"Jim Inhofe>Hate crime>White supremacy"
"Tom Coburn (R)";"Tom Coburn>Conservatism>Anarchism";"Tom Coburn>Conservatism>Antisemitism";"Tom Coburn>Conservatism>Capitalism";"Tom Coburn>Alaska>Christianity";"Tom Coburn>Conservatism>Communism";"Tom Coburn>Republican Party (United States)>Conservatism";"Tom Coburn>Constitution>Democracy";"Tom Coburn>Conservatism>Fascism";"Tom Coburn>Conservatism>Feminism";"Tom Coburn>Oklahoma>Racial segregation>Islamophobia";"Tom Coburn>Conservatism>Left-wing politics";"Tom Coburn>Conservatism>Liberalism";"Tom Coburn>Oklahoma>Ideology>Marxism";"Tom Coburn>Conservatism>Nationalism";"Tom Coburn>Terrorism>Neo-Nazism";"Tom Coburn>Oklahoma>Arkansas>Protestantism";"Tom Coburn>Conservatism>Right-wing politics";"Tom Coburn>Conservatism>Secularism";"Tom Coburn>Conservatism>Socialism";"Tom Coburn>Louisiana>White supremacy"
