"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Todd Young (R)";"Todd Young>Indiana>Thomas Jefferson>Anarchism";"Todd Young>Joe Donnelly>Al-Qaeda>Antisemitism";"Todd Young>Joe Donnelly>Afghanistan>Capitalism";"Todd Young>Indiana>Fort Wayne, Indiana>Christianity";"Todd Young>Communist>Communism";"Todd Young>Republican Party (United States)>Conservatism";"Todd Young>Dan Coats>Political science>Democracy";"Todd Young>Republican Party (United States)>Fascism";"Todd Young>LGBT>Feminism";"Todd Young>Joe Donnelly>Al-Qaeda>Islamophobia";"Todd Young>Joe Donnelly>Blue Dog Coalition>Left-wing politics";"Todd Young>Dan Coats>Supreme Court of the United States>Liberalism";"Todd Young>Joe Donnelly>Al-Qaeda>Marxism";"Todd Young>Germany>Nationalism";"Todd Young>University of London>Jomo Kenyatta>Neo-Nazism";"Todd Young>Indiana>African Americans>Protestantism";"Todd Young>Republican Party (United States)>Right-wing politics";"Todd Young>Germany>Secularism";"Todd Young>Indiana>James Madison>Socialism";"Todd Young>Joe Donnelly>University of Notre Dame>White supremacy"
"Bruce Braley (D)";"Bruce Braley>Iowa>Libertarian Party (United States)>Anarchism";"Bruce Braley>Iowa>United Church of Christ>Antisemitism";"Bruce Braley>Iowa>Libertarian Party (United States)>Capitalism";"Bruce Braley>Iowa>African Americans>Christianity";"Bruce Braley>Iowa>20th century>Communism";"Bruce Braley>Republican Party (United States)>Conservatism";"Bruce Braley>Iowa>Abraham Lincoln>Democracy";"Bruce Braley>Republican Party (United States)>Fascism";"Bruce Braley>Iowa>Equal Rights Amendment>Feminism";"Bruce Braley>Iowa>Muslim>Islamophobia";"Bruce Braley>Iowa>World War II>Left-wing politics";"Bruce Braley>Iowa>Veneto>Liberalism";"Bruce Braley>Grinnell, Iowa>City>Marxism";"Bruce Braley>Iowa>20th century>Nationalism";"Bruce Braley>Iowa>Steve King>Neo-Nazism";"Bruce Braley>Iowa>Arkansas>Protestantism";"Bruce Braley>Republican Party (United States)>Right-wing politics";"Bruce Braley>United States>American Revolution>Secularism";"Bruce Braley>Iowa>Kosovo>Socialism";"Bruce Braley>North Carolina>White supremacy"
"David Loebsack (D)";"Dave Loebsack>Iowa>Libertarian Party (United States)>Anarchism";"Dave Loebsack>Iowa>United Church of Christ>Antisemitism";"Dave Loebsack>Iowa>Libertarian Party (United States)>Capitalism";"Dave Loebsack>Iowa>African Americans>Christianity";"Dave Loebsack>Iowa>20th century>Communism";"Dave Loebsack>Iowa>Republican Party (United States)>Conservatism";"Dave Loebsack>Iowa>Abraham Lincoln>Democracy";"Dave Loebsack>Iowa>Republican Party (United States)>Fascism";"Dave Loebsack>Iowa>Equal Rights Amendment>Feminism";"Dave Loebsack>Iowa>Muslim>Islamophobia";"Dave Loebsack>Iowa>World War II>Left-wing politics";"Dave Loebsack>Iowa>Veneto>Liberalism";"Dave Loebsack>Iowa City, Iowa>City>Marxism";"Dave Loebsack>Iowa>20th century>Nationalism";"Dave Loebsack>Iowa>Steve King>Neo-Nazism";"Dave Loebsack>Iowa>Arkansas>Protestantism";"Dave Loebsack>Iowa>Republican Party (United States)>Right-wing politics";"Dave Loebsack>Democratic Party (United States)>Thomas Jefferson>Secularism";"Dave Loebsack>Iowa>Kosovo>Socialism";"Dave Loebsack>Iowa>Louisiana>White supremacy"
"Leonard Boswell (D)";"Leonard Boswell>Iowa>Libertarian Party (United States)>Anarchism";"Leonard Boswell>Iowa>United Church of Christ>Antisemitism";"Leonard Boswell>NATO>Capitalism";"Leonard Boswell>Europe>Christianity";"Leonard Boswell>Europe>Communism";"Leonard Boswell>Republican Party (United States)>Conservatism";"Leonard Boswell>Europe>Democracy";"Leonard Boswell>Europe>Fascism";"Leonard Boswell>Iowa>Equal Rights Amendment>Feminism";"Leonard Boswell>Iowa>Muslim>Islamophobia";"Leonard Boswell>Iowa>World War II>Left-wing politics";"Leonard Boswell>Iowa>Veneto>Liberalism";"Leonard Boswell>Democratic Party (United States)>Social justice>Marxism";"Leonard Boswell>Germany>Nationalism";"Leonard Boswell>Steve King>Neo-Nazism";"Leonard Boswell>Iowa>Arkansas>Protestantism";"Leonard Boswell>Republican Party (United States)>Right-wing politics";"Leonard Boswell>Europe>Secularism";"Leonard Boswell>Portugal>Socialism";"Leonard Boswell>NATO>White supremacy"
"Steve King (R)";"Steve King>Iowa>Libertarian Party (United States)>Anarchism";"Steve King>The New York Times>Antisemitism";"Steve King>Netherlands>Capitalism";"Steve King>Iowa>African Americans>Christianity";"Steve King>Iowa>20th century>Communism";"Steve King>Republican Party (United States)>Conservatism";"Steve King>Netherlands>Democracy";"Steve King>Netherlands>Fascism";"Steve King>LGBT>Feminism";"Steve King>Affirmative action>Islamophobia";"Steve King>Iowa>World War II>Left-wing politics";"Steve King>Netherlands>Liberalism";"Steve King>Storm Lake, Iowa>City>Marxism";"Steve King>Iowa>20th century>Nationalism";"Steve King>Neo-Nazi>Neo-Nazism";"Steve King>Iowa>Arkansas>Protestantism";"Steve King>Republican Party (United States)>Right-wing politics";"Steve King>Republican Party (United States)>American Revolution>Secularism";"Steve King>Iowa>Kosovo>Socialism";"Steve King>Affirmative action>White supremacy"
"Tim Huelskamp (R)";"Tim Huelskamp>Jerry Moran>Libertarian Party (United States)>Anarchism";"Tim Huelskamp>Kansas>Franklin D. Roosevelt>Antisemitism";"Tim Huelskamp>Jerry Moran>Libertarian Party (United States)>Capitalism";"Tim Huelskamp>Kansas>African Americans>Christianity";"Tim Huelskamp>Kansas>Olathe, Kansas>Communism";"Tim Huelskamp>Republican Party (United States)>Conservatism";"Tim Huelskamp>Republican Party (United States)>American Revolution>Democracy";"Tim Huelskamp>Republican Party (United States)>Fascism";"Tim Huelskamp>Kansas>Amelia Earhart>Feminism";"Tim Huelskamp>Kansas>Westboro Baptist Church>Islamophobia";"Tim Huelskamp>Republican Party (United States)>Two-party system>Left-wing politics";"Tim Huelskamp>Republican Party (United States)>Two-party system>Liberalism";"Tim Huelskamp>Fowler, Kansas>City>Marxism";"Tim Huelskamp>Republican Party (United States)>Free market>Nationalism";"Tim Huelskamp>Kansas>Westboro Baptist Church>Neo-Nazism";"Tim Huelskamp>Kansas>Arkansas>Protestantism";"Tim Huelskamp>Republican Party (United States)>Right-wing politics";"Tim Huelskamp>Kansas>Intelligent design>Secularism";"Tim Huelskamp>Republican Party (United States)>Classical liberalism>Socialism";"Tim Huelskamp>Kansas>African Americans>White supremacy"
"Lynn Jenkins (R)";"Lynn Jenkins>Libertarian Party (United States)>Anarchism";"Lynn Jenkins>John Boehner>The New York Times>Antisemitism";"Lynn Jenkins>Economics>Capitalism";"Lynn Jenkins>Paul Ryan>Christmas>Christianity";"Lynn Jenkins>Paul Ryan>Friedrich Hayek>Communism";"Lynn Jenkins>Republican Party (United States)>Conservatism";"Lynn Jenkins>John Boehner>Colin Powell>Democracy";"Lynn Jenkins>Republican Party (United States)>Fascism";"Lynn Jenkins>Paul Ryan>Baby boomers>Feminism";"Lynn Jenkins>Kansas>Westboro Baptist Church>Islamophobia";"Lynn Jenkins>Cathy McMorris Rodgers>World War II>Left-wing politics";"Lynn Jenkins>John Boehner>New Jersey>Liberalism";"Lynn Jenkins>Paul Ryan>Privatization>Marxism";"Lynn Jenkins>Paul Ryan>Friedrich Hayek>Nationalism";"Lynn Jenkins>Kansas>Westboro Baptist Church>Neo-Nazism";"Lynn Jenkins>John Boehner>Crucifix>Protestantism";"Lynn Jenkins>Republican Party (United States)>Right-wing politics";"Lynn Jenkins>Paul Ryan>Friedrich Hayek>Secularism";"Lynn Jenkins>Paul Ryan>Friedrich Hayek>Socialism";"Lynn Jenkins>John Boehner>Vietnam War>White supremacy"
"Kevin Yoder (R)";"Kevin Yoder>U.S. House of Representatives>Thomas Jefferson>Anarchism";"Kevin Yoder>U.S. House of Representatives>Franklin D. Roosevelt>Antisemitism";"Kevin Yoder>U.S. House of Representatives>James Madison>Capitalism";"Kevin Yoder>U.S. House of Representatives>Alaska>Christianity";"Kevin Yoder>U.S. House of Representatives>Treason>Communism";"Kevin Yoder>Republican Party (United States)>Conservatism";"Kevin Yoder>Political science>Democracy";"Kevin Yoder>Republican Party (United States)>Fascism";"Kevin Yoder>U.S. House of Representatives>Gerrymandering>Feminism";"Kevin Yoder>U.S. House of Representatives>Gerrymandering>Islamophobia";"Kevin Yoder>Dennis Moore (politician)>Blue Dog Coalition>Left-wing politics";"Kevin Yoder>U.S. House of Representatives>Supreme Court of the United States>Liberalism";"Kevin Yoder>Hutchinson, Kansas>City>Marxism";"Kevin Yoder>U.S. House of Representatives>James Madison>Nationalism";"Kevin Yoder>U.S. House of Representatives>List of political parties in the United States>Neo-Nazism";"Kevin Yoder>U.S. House of Representatives>Delaware>Protestantism";"Kevin Yoder>Republican Party (United States)>Right-wing politics";"Kevin Yoder>U.S. House of Representatives>Prayer>Secularism";"Kevin Yoder>U.S. House of Representatives>Montana>Socialism";"Kevin Yoder>U.S. House of Representatives>Louisiana>White supremacy"
"Mike Pompeo (R)";"Mike Pompeo>United States Secretary of State>Thomas Jefferson>Anarchism";"Mike Pompeo>The New York Times>Antisemitism";"Mike Pompeo>United States Secretary of State>Thomas Jefferson>Capitalism";"Mike Pompeo>Easter>Christianity";"Mike Pompeo>United States Secretary of State>NATO>Communism";"Mike Pompeo>Republican Party (United States)>Conservatism";"Mike Pompeo>Donald Trump>Europe>Democracy";"Mike Pompeo>Republican Party (United States)>Fascism";"Mike Pompeo>Donald Trump>Political correctness>Feminism";"Mike Pompeo>Muslim Brotherhood>Islamophobia";"Mike Pompeo>Haaretz>Left-wing politics";"Mike Pompeo>United States Secretary of State>Thomas Jefferson>Liberalism";"Mike Pompeo>Donald Trump>Screen Actors Guild>Marxism";"Mike Pompeo>United States Secretary of State>Thomas Jefferson>Nationalism";"Mike Pompeo>Donald Trump>David Duke>Neo-Nazism";"Mike Pompeo>Easter>Protestantism";"Mike Pompeo>Muslim Brotherhood>Right-wing politics";"Mike Pompeo>Muslim Brotherhood>Secularism";"Mike Pompeo>Donald Trump>North Korea>Socialism";"Mike Pompeo>United States Secretary of State>NATO>White supremacy"
"Ed Whitfield (R)";"Ed Whitfield>Kentucky>Political party>Anarchism";"Ed Whitfield>Hopkinsville, Kentucky>Ku Klux Klan>Antisemitism";"Ed Whitfield>Hopkinsville, Kentucky>American Revolution>Capitalism";"Ed Whitfield>Kentucky>Evangelicalism>Christianity";"Ed Whitfield>Kentucky>Horse racing>Communism";"Ed Whitfield>Republican Party (United States)>Conservatism";"Ed Whitfield>Hopkinsville, Kentucky>American Revolution>Democracy";"Ed Whitfield>Republican Party (United States)>Fascism";"Ed Whitfield>Hopkinsville, Kentucky>Marriage>Feminism";"Ed Whitfield>Hopkinsville, Kentucky>Ku Klux Klan>Islamophobia";"Ed Whitfield>Hopkinsville, Kentucky>Ku Klux Klan>Left-wing politics";"Ed Whitfield>Hopkinsville, Kentucky>American Revolution>Liberalism";"Ed Whitfield>Kentucky>Head of state>Marxism";"Ed Whitfield>Kentucky>Abraham Lincoln>Nationalism";"Ed Whitfield>Hopkinsville, Kentucky>Ku Klux Klan>Neo-Nazism";"Ed Whitfield>Hopkinsville, Kentucky>Ku Klux Klan>Protestantism";"Ed Whitfield>Republican Party (United States)>Right-wing politics";"Ed Whitfield>Hopkinsville, Kentucky>American Revolution>Secularism";"Ed Whitfield>Republican Party (United States)>Classical liberalism>Socialism";"Ed Whitfield>Hopkinsville, Kentucky>Ku Klux Klan>White supremacy"
"Brett Guthrie (R)";"Brett Guthrie>Kentucky>Political party>Anarchism";"Brett Guthrie>Kentucky>Judaism>Antisemitism";"Brett Guthrie>Kentucky>Jimmy Carter>Capitalism";"Brett Guthrie>Alabama>Christianity";"Brett Guthrie>Kentucky>Horse racing>Communism";"Brett Guthrie>Republican Party (United States)>Conservatism";"Brett Guthrie>Kentucky>Abraham Lincoln>Democracy";"Brett Guthrie>Republican Party (United States)>Fascism";"Brett Guthrie>Kentucky>Racial segregation>Feminism";"Brett Guthrie>Kentucky>Muslim>Islamophobia";"Brett Guthrie>Kentucky>Political party>Left-wing politics";"Brett Guthrie>Kentucky>Supreme Court of the United States>Liberalism";"Brett Guthrie>Kentucky>Head of state>Marxism";"Brett Guthrie>Kentucky>Abraham Lincoln>Nationalism";"Brett Guthrie>Kentucky>American Civil Liberties Union>Neo-Nazism";"Brett Guthrie>Kentucky>Arkansas>Protestantism";"Brett Guthrie>Republican Party (United States)>Right-wing politics";"Brett Guthrie>Kentucky>Evangelicalism>Secularism";"Brett Guthrie>Alabama>Christianity>Socialism";"Brett Guthrie>Yale University>White supremacy"
"John Yarmuth (D)";"John Yarmuth>Kentucky>Political party>Anarchism";"John Yarmuth>The New York Times>Antisemitism";"John Yarmuth>Kentucky>Jimmy Carter>Capitalism";"John Yarmuth>Kentucky>Evangelicalism>Christianity";"John Yarmuth>Kentucky>Horse racing>Communism";"John Yarmuth>Republican Party (United States)>Conservatism";"John Yarmuth>Kentucky>Abraham Lincoln>Democracy";"John Yarmuth>Republican Party (United States)>Fascism";"John Yarmuth>Kentucky>Racial segregation>Feminism";"John Yarmuth>Kentucky>Muslim>Islamophobia";"John Yarmuth>Kentucky>Political party>Left-wing politics";"John Yarmuth>Kentucky>Supreme Court of the United States>Liberalism";"John Yarmuth>Kentucky>Head of state>Marxism";"John Yarmuth>Kentucky>Abraham Lincoln>Nationalism";"John Yarmuth>Kentucky>American Civil Liberties Union>Neo-Nazism";"John Yarmuth>Kentucky>Arkansas>Protestantism";"John Yarmuth>Republican Party (United States)>Right-wing politics";"John Yarmuth>Kentucky>Evangelicalism>Secularism";"John Yarmuth>Anne Northup>Minimum wage>Socialism";"John Yarmuth>Yale University>White supremacy"
"Geoff Davis (R)";"Geoff Davis>Conservatism>Anarchism";"Geoff Davis>Conservatism>Antisemitism";"Geoff Davis>Conservatism>Capitalism";"Geoff Davis>Quebec>Alabama>Christianity";"Geoff Davis>Conservatism>Communism";"Geoff Davis>Republican Party (United States)>Conservatism";"Geoff Davis>Conservatism>Democracy";"Geoff Davis>Conservatism>Fascism";"Geoff Davis>Conservatism>Feminism";"Geoff Davis>Quebec>Separation of church and state>Islamophobia";"Geoff Davis>Conservatism>Left-wing politics";"Geoff Davis>Conservatism>Liberalism";"Geoff Davis>Montreal>Christianity>Marxism";"Geoff Davis>Conservatism>Nationalism";"Geoff Davis>United States>Henry Ford>Neo-Nazism";"Geoff Davis>Montreal>British Empire>Protestantism";"Geoff Davis>Conservatism>Right-wing politics";"Geoff Davis>Conservatism>Secularism";"Geoff Davis>Conservatism>Socialism";"Geoff Davis>Quebec>Pierre Trudeau>White supremacy"
"Hal Rogers (R)";"Hal Rogers>Ukraine>Anarchism";"Hal Rogers>Hate crime>Antisemitism";"Hal Rogers>George H. W. Bush>Capitalism";"Hal Rogers>Kentucky>Evangelicalism>Christianity";"Hal Rogers>George H. W. Bush>Communism";"Hal Rogers>Republican Party (United States)>Conservatism";"Hal Rogers>United States House Committee on Appropriations>Government>Democracy";"Hal Rogers>George H. W. Bush>Fascism";"Hal Rogers>Hate crime>Feminism";"Hal Rogers>Hate crime>Islamophobia";"Hal Rogers>United States House Committee on Appropriations>Government>Left-wing politics";"Hal Rogers>United States House Committee on Appropriations>Government>Liberalism";"Hal Rogers>United States House Committee on Appropriations>Tax>Marxism";"Hal Rogers>United States House Committee on Appropriations>Government>Nationalism";"Hal Rogers>Rodney Frelinghuysen>Michael Moore>Neo-Nazism";"Hal Rogers>United States House Committee on Appropriations>California>Protestantism";"Hal Rogers>Republican Party (United States)>Right-wing politics";"Hal Rogers>Kentucky>Evangelicalism>Secularism";"Hal Rogers>United States House Committee on Appropriations>Government>Socialism";"Hal Rogers>George H. W. Bush>White supremacy"
"Ben Chandler (D)";"Ben Chandler>Kentucky>Political party>Anarchism";"Ben Chandler>Kentucky>Judaism>Antisemitism";"Ben Chandler>Kentucky>Jimmy Carter>Capitalism";"Ben Chandler>Kentucky>Evangelicalism>Christianity";"Ben Chandler>Kentucky>Horse racing>Communism";"Ben Chandler>Kentucky>Republican Party (United States)>Conservatism";"Ben Chandler>Kentucky>Abraham Lincoln>Democracy";"Ben Chandler>Kentucky>Republican Party (United States)>Fascism";"Ben Chandler>Kentucky>Racial segregation>Feminism";"Ben Chandler>Kentucky>Muslim>Islamophobia";"Ben Chandler>Blue Dog Coalition>Left-wing politics";"Ben Chandler>Kentucky>Supreme Court of the United States>Liberalism";"Ben Chandler>Kentucky>Head of state>Marxism";"Ben Chandler>Kentucky>Abraham Lincoln>Nationalism";"Ben Chandler>Kentucky>American Civil Liberties Union>Neo-Nazism";"Ben Chandler>Kentucky>Arkansas>Protestantism";"Ben Chandler>Blue Dog Coalition>Right-wing politics";"Ben Chandler>Presbyterianism>Secularism";"Ben Chandler>Ernie Fletcher>Astronaut>Socialism";"Ben Chandler>Kentucky>Fulton County, Kentucky>White supremacy"
"Steve Scalise (R)";"Steve Scalise>Party leaders of the United States House of Representatives>Political party>Anarchism";"Steve Scalise>Hate crime>Antisemitism";"Steve Scalise>Copyright>Capitalism";"Steve Scalise>Paul Ryan>Christmas>Christianity";"Steve Scalise>Paul Ryan>Friedrich Hayek>Communism";"Steve Scalise>Republican Party (United States)>Conservatism";"Steve Scalise>Political science>Democracy";"Steve Scalise>Republican Party (United States)>Fascism";"Steve Scalise>Hate crime>Feminism";"Steve Scalise>Hate crime>Islamophobia";"Steve Scalise>Party leaders of the United States House of Representatives>Political party>Left-wing politics";"Steve Scalise>Copyright>Liberalism";"Steve Scalise>Paul Ryan>Privatization>Marxism";"Steve Scalise>Party leaders of the United States House of Representatives>James Madison>Nationalism";"Steve Scalise>David Duke>Neo-Nazism";"Steve Scalise>Party leaders of the United States House of Representatives>James G. Blaine>Protestantism";"Steve Scalise>Republican Party (United States)>Right-wing politics";"Steve Scalise>Paul Ryan>Friedrich Hayek>Secularism";"Steve Scalise>Party leaders of the United States House of Representatives>James Madison>Socialism";"Steve Scalise>Hate crime>White supremacy"
"Cedric Richmond (D)";"Cedric Richmond>Louisiana>Thomas Paine>Anarchism";"Cedric Richmond>Louisiana>White supremacy>Antisemitism";"Cedric Richmond>Louisiana>Thomas Paine>Capitalism";"Cedric Richmond>Louisiana>Fort Wayne, Indiana>Christianity";"Cedric Richmond>Louisiana>Germany>Communism";"Cedric Richmond>Republican Party (United States)>Conservatism";"Cedric Richmond>Louisiana>Abraham Lincoln>Democracy";"Cedric Richmond>Republican Party (United States)>Fascism";"Cedric Richmond>Louisiana>Thomas Paine>Feminism";"Cedric Richmond>Louisiana>White supremacy>Islamophobia";"Cedric Richmond>Louisiana>White supremacy>Left-wing politics";"Cedric Richmond>Louisiana>Thomas Paine>Liberalism";"Cedric Richmond>Louisiana>Canary Islands>Marxism";"Cedric Richmond>Louisiana>Thomas Paine>Nationalism";"Cedric Richmond>Louisiana>White supremacy>Neo-Nazism";"Cedric Richmond>Louisiana>Arkansas>Protestantism";"Cedric Richmond>Republican Party (United States)>Right-wing politics";"Cedric Richmond>Louisiana>Culture of France>Secularism";"Cedric Richmond>Democratic Party (United States)>James Madison>Socialism";"Cedric Richmond>Louisiana>White supremacy"
"Jeff Landry (R)";"Jeff Landry>Chicago>Anarchism";"Jeff Landry>Buddy Caldwell>Judaism>Antisemitism";"Jeff Landry>John Bel Edwards>Italy>Capitalism";"Jeff Landry>Buddy Caldwell>Alabama>Christianity";"Jeff Landry>Buddy Caldwell>Federal Bureau of Investigation>Communism";"Jeff Landry>Republican Party (United States)>Conservatism";"Jeff Landry>John Bel Edwards>Italy>Democracy";"Jeff Landry>Republican Party (United States)>Fascism";"Jeff Landry>Buddy Caldwell>Music>Feminism";"Jeff Landry>Muslim>Islamophobia";"Jeff Landry>John Bel Edwards>Huey Long>Left-wing politics";"Jeff Landry>Business>Liberalism";"Jeff Landry>Louisiana>Canary Islands>Marxism";"Jeff Landry>Buddy Caldwell>Judaism>Nationalism";"Jeff Landry>Louisiana>White supremacy>Neo-Nazism";"Jeff Landry>Buddy Caldwell>Judaism>Protestantism";"Jeff Landry>Republican Party (United States)>Right-wing politics";"Jeff Landry>Buddy Caldwell>Judaism>Secularism";"Jeff Landry>Buddy Caldwell>Federal Bureau of Investigation>Socialism";"Jeff Landry>Louisiana>White supremacy"
"John Fleming (American politician) (R)";"John Fleming (American politician)>Conservatism>Anarchism";"John Fleming (American politician)>Conservatism>Antisemitism";"John Fleming (American politician)>Conservatism>Capitalism";"John Fleming (American politician)>Donald Trump>Europe>Christianity";"John Fleming (American politician)>Conservatism>Communism";"John Fleming (American politician)>Supreme Court of the United States>Conservatism";"John Fleming (American politician)>Conservatism>Democracy";"John Fleming (American politician)>Conservatism>Fascism";"John Fleming (American politician)>Conservatism>Feminism";"John Fleming (American politician)>Ku Klux Klan>Islamophobia";"John Fleming (American politician)>Conservatism>Left-wing politics";"John Fleming (American politician)>Conservatism>Liberalism";"John Fleming (American politician)>Donald Trump>Screen Actors Guild>Marxism";"John Fleming (American politician)>Conservatism>Nationalism";"John Fleming (American politician)>Ku Klux Klan>Neo-Nazism";"John Fleming (American politician)>Ku Klux Klan>Protestantism";"John Fleming (American politician)>Conservatism>Right-wing politics";"John Fleming (American politician)>Conservatism>Secularism";"John Fleming (American politician)>Conservatism>Socialism";"John Fleming (American politician)>Ku Klux Klan>White supremacy"
"Rodney Alexander (R)";"Rodney Alexander>Libertarian Party (United States)>Anarchism";"Rodney Alexander>Bobby Jindal>The New York Times>Antisemitism";"Rodney Alexander>Libertarian Party (United States)>Capitalism";"Rodney Alexander>Bobby Jindal>Alaska>Christianity";"Rodney Alexander>Bobby Jindal>Intelligent design>Communism";"Rodney Alexander>Republican Party (United States)>Conservatism";"Rodney Alexander>Bobby Jindal>India>Democracy";"Rodney Alexander>Republican Party (United States)>Fascism";"Rodney Alexander>Louisiana>Thomas Paine>Feminism";"Rodney Alexander>Louisiana>White supremacy>Islamophobia";"Rodney Alexander>Bobby Jindal>Rush Limbaugh>Left-wing politics";"Rodney Alexander>Bobby Jindal>Business>Liberalism";"Rodney Alexander>Bobby Jindal>Christianity>Marxism";"Rodney Alexander>Louisiana>Thomas Paine>Nationalism";"Rodney Alexander>Bobby Jindal>American Civil Liberties Union>Neo-Nazism";"Rodney Alexander>Bobby Jindal>California>Protestantism";"Rodney Alexander>Republican Party (United States)>Right-wing politics";"Rodney Alexander>Bobby Jindal>India>Secularism";"Rodney Alexander>Bobby Jindal>Christianity>Socialism";"Rodney Alexander>Louisiana>White supremacy"
"Bill Cassidy (R)";"Bill Cassidy>Libertarian Party (United States)>Anarchism";"Bill Cassidy>Louisiana>White supremacy>Antisemitism";"Bill Cassidy>Libertarian Party (United States)>Capitalism";"Bill Cassidy>Louisiana>Fort Wayne, Indiana>Christianity";"Bill Cassidy>Louisiana>Germany>Communism";"Bill Cassidy>Republican Party (United States)>Conservatism";"Bill Cassidy>Louisiana>Abraham Lincoln>Democracy";"Bill Cassidy>Republican Party (United States)>Fascism";"Bill Cassidy>Louisiana>Thomas Paine>Feminism";"Bill Cassidy>Louisiana>White supremacy>Islamophobia";"Bill Cassidy>Louisiana>White supremacy>Left-wing politics";"Bill Cassidy>Louisiana>Thomas Paine>Liberalism";"Bill Cassidy>Louisiana>Canary Islands>Marxism";"Bill Cassidy>Louisiana>Thomas Paine>Nationalism";"Bill Cassidy>Louisiana>White supremacy>Neo-Nazism";"Bill Cassidy>Louisiana>Arkansas>Protestantism";"Bill Cassidy>Republican Party (United States)>Right-wing politics";"Bill Cassidy>Louisiana>Culture of France>Secularism";"Bill Cassidy>Jay Dardenne>Journalism>Socialism";"Bill Cassidy>Louisiana>White supremacy"
"Charles Boustany (R)";"Charles Boustany>Louisiana>Thomas Paine>Anarchism";"Charles Boustany>Louisiana>White supremacy>Antisemitism";"Charles Boustany>Louisiana>Thomas Paine>Capitalism";"Charles Boustany>Louisiana>Fort Wayne, Indiana>Christianity";"Charles Boustany>Louisiana>Germany>Communism";"Charles Boustany>Republican Party (United States)>Conservatism";"Charles Boustany>Louisiana>Abraham Lincoln>Democracy";"Charles Boustany>Republican Party (United States)>Fascism";"Charles Boustany>Louisiana>Thomas Paine>Feminism";"Charles Boustany>Louisiana>White supremacy>Islamophobia";"Charles Boustany>Louisiana>White supremacy>Left-wing politics";"Charles Boustany>Louisiana>Thomas Paine>Liberalism";"Charles Boustany>Louisiana>Canary Islands>Marxism";"Charles Boustany>Louisiana>Thomas Paine>Nationalism";"Charles Boustany>Louisiana>White supremacy>Neo-Nazism";"Charles Boustany>Louisiana>Arkansas>Protestantism";"Charles Boustany>Republican Party (United States)>Right-wing politics";"Charles Boustany>Louisiana>Culture of France>Secularism";"Charles Boustany>Republican Party (United States)>Classical liberalism>Socialism";"Charles Boustany>Louisiana>White supremacy"
"Chellie Pingree (D)";"Chellie Pingree>Maine>Italian Americans>Anarchism";"Chellie Pingree>Maine>Slavery>Antisemitism";"Chellie Pingree>Afghanistan>Capitalism";"Chellie Pingree>Maine>African Americans>Christianity";"Chellie Pingree>Afghanistan>Communism";"Chellie Pingree>Republican Party (United States)>Conservatism";"Chellie Pingree>Maine>American Revolution>Democracy";"Chellie Pingree>Afghanistan>Fascism";"Chellie Pingree>Maine>Slavery>Feminism";"Chellie Pingree>Maine>Slavery>Islamophobia";"Chellie Pingree>Minneapolis>Minnesota Democratic-Farmer-Labor Party>Left-wing politics";"Chellie Pingree>Libya>Liberalism";"Chellie Pingree>Maine>Personal property>Marxism";"Chellie Pingree>Afghanistan>Nationalism";"Chellie Pingree>American Family Association>Neo-Nazism";"Chellie Pingree>Maine>England>Protestantism";"Chellie Pingree>Republican Party (United States)>Right-wing politics";"Chellie Pingree>Maine>American Revolution>Secularism";"Chellie Pingree>Minneapolis>Laos>Socialism";"Chellie Pingree>Afghanistan>White supremacy"
"Mike Michaud (D)";"Mike Michaud>Maine>Italian Americans>Anarchism";"Mike Michaud>United States House Committee on Veterans' Affairs>Prisoner of war>Antisemitism";"Mike Michaud>Maine>American Revolution>Capitalism";"Mike Michaud>Maine>African Americans>Christianity";"Mike Michaud>Bob Filner>Hubert Humphrey>Communism";"Mike Michaud>Republican Party (United States)>Conservatism";"Mike Michaud>Maine>American Revolution>Democracy";"Mike Michaud>Republican Party (United States)>Fascism";"Mike Michaud>LGBT>Feminism";"Mike Michaud>Corrine Brown>Gerrymandering>Islamophobia";"Mike Michaud>Blue Dog Coalition>Left-wing politics";"Mike Michaud>Bob Filner>Hubert Humphrey>Liberalism";"Mike Michaud>Bob Filner>People's Mujahedin of Iran>Marxism";"Mike Michaud>Bob Filner>Judaism>Nationalism";"Mike Michaud>Corrine Brown>Michael Moore>Neo-Nazism";"Mike Michaud>Bob Filner>California>Protestantism";"Mike Michaud>Republican Party (United States)>Right-wing politics";"Mike Michaud>Bob Filner>Judaism>Secularism";"Mike Michaud>United States>Industrial Revolution>Socialism";"Mike Michaud>Lewiston, Maine>White supremacy"
