sep=;
subject;predicate;object;score;path
Simon Gerada;/people/person/place_of_birth;Melbourne;5;Simon Gerada>Table tennis>Sydney>Melbourne
Brett Hayman;/people/person/place_of_birth;Melbourne;5;Brett Hayman>Rowing (sport)>Summer Olympic Games>Melbourne
Rodney Cocks;/people/person/place_of_birth;Melbourne;5;Rodney Cocks was not a valid article
Michael Guider;/people/person/place_of_birth;Melbourne;5;Michael Guider>Sydney>Melbourne
David Sander;/people/person/place_of_birth;Melbourne;5;David Sander was not a valid article
Herbert Postle;/people/person/place_of_birth;Melbourne;5;Herbert Postle>Bachelor of Law>Sarawak>Melbourne
Luke Youlden;/people/person/place_of_birth;Melbourne;5;Luke Youlden>Erebus Motorsport>Holden>Melbourne
Rodney de Gruchy;/people/person/place_of_birth;Melbourne;5;Rodney de Gruchy>Australian>History of Australia>Melbourne
Kate Richardson (athlete);/people/person/place_of_birth;Melbourne;5;Kate Anderson-Richardson>Melbourne, Victoria>Melbourne Cricket Ground>Melbourne
Jennifer Huppert;/people/person/place_of_birth;Melbourne;3;Jennifer Huppert>Australia>Sydney>Melbourne
Nicole Richardson;/people/person/place_of_birth;Melbourne;5;Nicole Richardson>Olympic Games>Melbourne
Justine Smethurst;/people/person/place_of_birth;Melbourne;5;Justine Smethurst>Olympic Games>Melbourne
Martin Brown (artist);/people/person/place_of_birth;Melbourne;5;Horrible Histories>educational entertainment>Perth>Melbourne
Joanne Fox;/people/person/place_of_birth;Melbourne;5;Joanne Fox>Athens>Melbourne
Ashley Gilbertson;/people/person/place_of_birth;Melbourne;5;Ashley Gilbertson>Amsterdam>Melbourne
Diana Trask;/people/person/place_of_birth;Melbourne;5;Diana Trask>Country music>Melbourne
Matthew Kent;/people/person/place_of_birth;Melbourne;5;Matthew Kent>Boston Red Sox>Atlanta>Melbourne
William Dexter;/people/person/place_of_birth;Melbourne;-3;William Dexter>England>London>Melbourne
Harry James Angus;/people/person/place_of_birth;Melbourne;5;Harry James Angus>Melbourne, Victoria>Melbourne Cricket Ground>Melbourne
Jane Tanner;/people/person/place_of_birth;Melbourne;5;Jane Tanner>Australia>Sydney>Melbourne
Gordon Edward Corbould;/people/person/place_of_birth;Toronto;5;Gordon Edward Corbould>Ontario>Toronto
Alastair Sweeny;/people/person/place_of_birth;Toronto;5;Alastair Sweeny>Canadians>Canadian English>Toronto
John William Thomson;/people/person/place_of_birth;Toronto;5;John William Thomson>Peter Bawden>Ontario>Toronto
Linda MacLennan;/people/person/place_of_birth;Toronto;5;Linda MacLennan>WBBM-TV>Chicago>Toronto
David Bourque;/people/person/place_of_birth;Toronto;-3;David Bourque>University of Toronto>Ontario>Toronto
Catherine Winder;/people/person/place_of_birth;Toronto;-5;Catherine Winder>Japan>Tokyo>Toronto
George Snell (bishop);/people/person/place_of_birth;Toronto;5;George Snell (bishop)>Trinity College, Toronto>Ontario>Toronto
Erna Paris;/people/person/place_of_birth;Toronto;5;Erna Paris>University of Toronto>Ontario>Toronto
Ellie Tesher;/people/person/place_of_birth;Toronto;5;Ellie Tesher>Ontario>Toronto
Steven Hayward (Canadian writer);/people/person/place_of_birth;Toronto;5;Steven Hayward (Canadian writer)>University of Toronto>Ontario>Toronto
Lorne Resnick;/people/person/place_of_birth;Toronto;5;Lorne Resnick>photography>Renaissance>Art Deco>Toronto
David Empringham;/people/person/place_of_birth;Toronto;5;David Empringham>Ontario>Toronto
Lorne Rubenstein;/people/person/place_of_birth;Toronto;5;Lorne Rubenstein>journalist>Media bias>Toronto
Ronnie Le Drew;/people/person/place_of_birth;Toronto;5;Ronnie Le Drew>Canada>O Canada>Toronto
Lorraine Leckie;/people/person/place_of_birth;Toronto;-5;Lorraine Leckie>New York City>Commuter rail>Toronto
Albert Pratz;/people/person/place_of_birth;Toronto;5;Albert Pratz>music educator>Bollywood>Toronto
Harry Chadwick;/people/person/place_of_birth;Toronto;5;Harry Chadwick>House of Commons of Canada>Ottawa>Toronto
Jack Blum;/people/person/place_of_birth;Toronto;5;Jack Blum>Hamilton, Ontario>Toronto
Graph Nobel;/people/person/place_of_birth;Toronto;5;Graph Nobel>Ontario>Toronto
William Leeming Harrison;/people/person/place_of_birth;Toronto;-3;William Leeming Harrison>British Empire>North America>Toronto
John Smith (poet);/people/person/place_of_birth;Toronto;5;John Smith>placeholder name>Profanity>Toronto
John Cole (politician);/people/person/place_of_birth;Toronto;5;John Cole (politician)>Ontario>Toronto
Austin Lloyd Fleming;/people/person/place_of_birth;Toronto;5;Austin Lloyd Fleming>Málaga>Andalusia>Toronto
John Josiah Robinette;/people/person/place_of_birth;Toronto;5;John Josiah Robinette>Ontario>Toronto
Biff Mitchell;/people/person/place_of_birth;Toronto;5;Biff Mitchell>Ontario>Toronto
Bartle Brennen Bull;/people/person/place_of_birth;Toronto;5;Bartle Bull (politician)>Rosedale, Toronto>Ontario>Toronto
Kim Ondaatje;/people/person/place_of_birth;Toronto;5;Kim Ondaatje>Ontario>Toronto
Murray McEachern;/people/person/place_of_birth;Toronto;5;Murray McEachern>Chicago>Toronto
Kenneth William Junor;/people/person/place_of_birth;Toronto;5;Kenneth William Junor>British Empire>North America>Toronto
David Hackl;/people/person/place_of_birth;Toronto;5;David Hackl>Ontario>Toronto
Arthur N. Martin;/people/person/place_of_birth;Toronto;5;Arthur N. Martin>Canadians>Canadian English>Toronto
John Dodington;/people/person/place_of_birth;Toronto;5;John Dodington>opera>Paris>Toronto
Frank E. Holmes;/people/person/place_of_birth;Toronto;-3;Frank E. Holmes>San Antonio, Texas>National Basketball Association>Toronto
Alan Welsh;/people/person/place_of_birth;Edinburgh;5;Alan Welsh>Bonnyrigg Rose Athletic F.C.>Sean Connery>Edinburgh
James Balfour (philosopher);/people/person/place_of_birth;Edinburgh;-5;James Balfour (philosopher)>David Hume>Edinburgh
John Thomas Rochead;/people/person/place_of_birth;Edinburgh;5;John Thomas Rochead>Belfast>Edinburgh
James Hogg (publisher);/people/person/place_of_birth;Edinburgh;-5;James Hogg (publisher)>James Hogg>Scotland>Edinburgh
Thomas Tod Stoddart;/people/person/place_of_birth;Edinburgh;5;Thomas Tod Stoddart>Moravian Church>Baptism>Edinburgh
Gillian Cooke;/people/person/place_of_birth;Edinburgh;3;Gillian Cooke>Scotland>Edinburgh
John Donaldson (painter);/people/person/place_of_birth;Edinburgh;5;John Donaldson (painter)>Portrait miniature>Charles I of England>Edinburgh
George Hurst;/people/person/place_of_birth;Edinburgh;5;George Hurst>George Hurst (conductor)>Manchester>Edinburgh
William Skirving;/people/person/place_of_birth;Edinburgh;-5;William Skirving>Political Martyrs' Monument>London>Edinburgh
Julian Paynter;/people/person/place_of_birth;Edinburgh;5;Julian Paynter>Edinburgh, Scotland>Scotland>Edinburgh
John Cobbett;/people/person/place_of_birth;Edinburgh;5;John Cobbett>Royal Academy Schools>London>Edinburgh
George Mudie (Owenite);/people/person/place_of_birth;Edinburgh;5;George Mudie (social reformer)>London>Edinburgh
Sir Andrew Agnew, 8th Baronet;/people/person/place_of_birth;Edinburgh;5;Sir Andrew Agnew, 8th Baronet>Deputy Lieutenant>United Kingdom>Edinburgh
Roger Sinclair Aytoun;/people/person/place_of_birth;Edinburgh;5;Roger Sinclair Aytoun>Liberal Party (UK)>William Ewart Gladstone>Edinburgh
Scott Cleverdon;/people/person/place_of_birth;Edinburgh;5;Scott Cleverdon>Scotland>Edinburgh
Robert Hamilton Paterson;/people/person/place_of_birth;Edinburgh;5;Robert Hamilton Paterson>Duke of Hamilton>Charles I of England>Edinburgh
George Henderson (architect);/people/person/place_of_birth;Edinburgh;5;George Henderson (architect)>architect>United Kingdom>Edinburgh
Walter Elliot (Scottish naturalist);/people/person/place_of_birth;Edinburgh;5;Walter Elliot (naturalist)>East India College>London>Edinburgh
John Cameron (Reformed Presbyterian);/people/person/place_of_birth;Edinburgh;-5;John Cameron (Reformed Presbyterian)>County Antrim>County town>Edinburgh
James O. Clephane;/people/person/place_of_birth;Edinburgh;-3;James O. Clephane>Scotland>Edinburgh
Joseph Hislop;/people/person/place_of_birth;Edinburgh;5;Joseph Hislop>opera>Florence>Edinburgh
Alexander Smith (chemist);/people/person/place_of_birth;Edinburgh;5;Alexander Smith (chemist)>Scotland>Edinburgh
Mike Peden;/people/person/place_of_birth;Edinburgh;5;Mike Peden>Lighthouse Family>United Kingdom>Edinburgh
Mary MacLeod Banks;/people/person/place_of_birth;Edinburgh;5;Mary MacLeod Banks>Queensland>Sydney>Edinburgh
Allan Stewart (artist);/people/person/place_of_birth;Edinburgh;5;Allan Stewart (artist)>Mary, Queen of Scots>Edinburgh
Henry John Cody;/people/person/place_of_birth;Edinburgh;-3;Henry John Cody>Robert Falconer>Scotland>Edinburgh
Marcus Dods (musician);/people/person/place_of_birth;Edinburgh;5;Marcus Dods (musician)>Henley-on-Thames>Oxford>Edinburgh
Georgina Kennard;/people/person/place_of_birth;Edinburgh;5;Georgina Kennard>Scotland>Edinburgh
William Walker (engraver born 1791);/people/person/place_of_birth;Edinburgh;-5;William Walker (engraver)>Sir Henry Raeburn>Scotland>Edinburgh
Patrick Edward Dove;/people/person/place_of_birth;Edinburgh;-5;Patrick Edward Dove>Encyclopædia Britannica>Edinburgh
Gary Callander;/people/person/place_of_birth;Edinburgh;5;Gary Callander>Rugby union>Edinburgh
Carl Herman Kraeling;/people/person/place_of_birth;Brooklyn;5;Carl Hermann Kraeling>Columbia University>Brooklyn
Rebecca Pronsky;/people/person/place_of_birth;Brooklyn;5;Rebecca Pronsky>Brooklyn, New York>Brooklyn Bridge>Brooklyn
Borah Bergman;/people/person/place_of_birth;Brooklyn;5;Borah Bergman>New York (state)>Yiddish>Brooklyn
Raymond Ericson;/people/person/place_of_birth;Brooklyn;5;Raymond Ericson>The New York Times>Buffalo, New York>Brooklyn
Seth Lipsky;/people/person/place_of_birth;Brooklyn;5;Seth Lipsky>Milton Friedman>Brooklyn
Richard Cullen (attorney);/people/person/place_of_birth;Brooklyn;5;Richard Cullen (attorney)>United States Attorney for the Eastern District of Virginia>Supreme Court of the United States>Brooklyn
Al Harewood;/people/person/place_of_birth;Brooklyn;5;Al Harewood>jazz>George Gershwin>Brooklyn
Jeffrey H. Cohen;/people/person/place_of_birth;Brooklyn;5;Jeffrey H. Cohen>Indiana University (Bloomington)>Philadelphia>Brooklyn
Sy Landy;/people/person/place_of_birth;Brooklyn;5;Sy Landy>United States>Louisiana>Brooklyn
Peter C. Schultz;/people/person/place_of_birth;Brooklyn;5;Peter C. Schultz>telecommunication>Samuel Morse>Brooklyn
Albert Warren Ferris;/people/person/place_of_birth;Brooklyn;5;Albert Warren Ferris>Columbia University>Brooklyn
Matthew T. Abruzzo;/people/person/place_of_birth;Brooklyn;5;Matthew T. Abruzzo>United States District Court for the Eastern District of New York>Long Island>Brooklyn
Lucille Wallenrod;/people/person/place_of_birth;Brooklyn;5;Lucille Wallenrod>Works Progress Administration>Harlem>Brooklyn
Leonard D. Wexler;/people/person/place_of_birth;Brooklyn;5;Leonard D. Wexler>Senior status>Supreme Court of the United States>Brooklyn
Franco Gentilesca;/people/person/place_of_birth;Brooklyn;5;Franco Gentilesca>opera>Carnival>Brooklyn
Joe Torres (journalist);/people/person/place_of_birth;Brooklyn;5;Joe Torres (journalist)>Philadelphia>Brooklyn
Bob Alberti;/people/person/place_of_birth;Brooklyn;5;Bob Alberti>Brooklyn, New York>Brooklyn Bridge>Brooklyn
Joe Ascione;/people/person/place_of_birth;Brooklyn;5;Joe Ascione>Brooklyn, New York>Brooklyn Bridge>Brooklyn
Stanley Newman;/people/person/place_of_birth;Brooklyn;-1;Stanley Newman>United States>Louisiana>Brooklyn
Stacy Barthe;/people/person/place_of_birth;Brooklyn;5;Stacy Barthe>New York City>Queens>Brooklyn
Roger Q. Williams;/people/person/place_of_birth;Brooklyn;5;Roger Q. Williams>The New York Times>Buffalo, New York>Brooklyn
John Esposito (pianist);/people/person/place_of_birth;Brooklyn;5;John Esposito (pianist)>Brooklyn, New York>Brooklyn Bridge>Brooklyn
Leo C. Zeferetti;/people/person/place_of_birth;Brooklyn;5;Leo C. Zeferetti>The New York Times>Buffalo, New York>Brooklyn
Robert Stanley Breed;/people/person/place_of_birth;Brooklyn;-3;Robert Stanley Breed>United States>Louisiana>Brooklyn
Claire Burch;/people/person/place_of_birth;Brooklyn;5;Claire Burch>Manhattan>Brooklyn
Ralph Schoenman;/people/person/place_of_birth;Brooklyn;5;Ralph Schoenman>The New York Times>Buffalo, New York>Brooklyn
Irving Fiske;/people/person/place_of_birth;Brooklyn;5;Irving Fiske>Brooklyn, New York>Brooklyn Bridge>Brooklyn
Bill Kaiserman;/people/person/place_of_birth;Brooklyn;5;Bill Kaiserman>Brooklyn, New York>Brooklyn Bridge>Brooklyn
Thomas Elliot Bowman III;/people/person/place_of_birth;Brooklyn;5;Thomas Elliot Bowman III>United States>Louisiana>Brooklyn
George E. Waldo;/people/person/place_of_birth;Brooklyn;5;George E. Waldo>Ithaca, New York>Brooklyn
Edward Raymond Neaher;/people/person/place_of_birth;Brooklyn;5;Edward Raymond Neaher>Senior status>Supreme Court of the United States>Brooklyn
Adolf Jellinek;/people/person/place_of_birth;Budapest;-1;Adolf Jellinek>Drslavice (Uherské Hradiště District)>Prague>Budapest
Ferenc A. Váli;/people/person/place_of_birth;Budapest;5;Ferenc A. Váli>German language>Budapest
Peter Hargitai;/people/person/place_of_birth;Budapest;5;Peter Hargitai>Hungary>Budapest
Imre Zachár;/people/person/place_of_birth;Budapest;5;Imre Zachár>Swimming (sport)>London>Budapest
Béla Glattfelder;/people/person/place_of_birth;Budapest;5;Béla Glattfelder>Politics of Hungary>Budapest
Berthold Weisz;/people/person/place_of_birth;Budapest;5;Berthold Weisz>Berlin>Budapest
Zoltan Kósz;/people/person/place_of_birth;Budapest;5;Zoltán Kósz>Water Polo at the Summer Olympics>Paris>Budapest
Ferenc Sipos;/people/person/place_of_birth;Budapest;5;Ferenc Sipos>Hungary>Budapest
Mihály Kovács;/people/person/place_of_birth;Budapest;5;Mihály Kovács>Team handball>Europe>Budapest
László Z. Bitó;/people/person/place_of_birth;Budapest;5;László Z. Bitó>Hungary>Budapest
Árpád Soós;/people/person/place_of_birth;Budapest;5;Árpád Soós>Hungary>Budapest
Zoltán Benkő;/people/person/place_of_birth;Budapest;5;Zoltán Benkő>Hungary>Budapest
Adrienn Bende;/people/person/place_of_birth;Budapest;5;Adrienn Bende>Hungary>Budapest
Katalin Karády;/people/person/place_of_birth;Budapest;5;Katalin Karády>Brussels>Budapest
Péter Lendvay;/people/person/place_of_birth;Budapest;5;Péter Lendvay>team handball>Europe>Budapest
Andrea Mátay;/people/person/place_of_birth;Budapest;5;Andrea Mátay>Hungary>Budapest
Zsolt Hamar;/people/person/place_of_birth;Budapest;5;Zsolt Hamar>Franz Liszt Academy of Music>Hungary>Budapest
Zoltán Szilády;/people/person/place_of_birth;Budapest;5;Zoltán Szilády>Hungary>Budapest
György Bródy;/people/person/place_of_birth;Budapest;5;György Bródy>Hungary>Budapest
Charles Weissmann;/people/person/place_of_birth;Budapest;5;Charles Weissmann>Swiss>Europe>Budapest
Ákos Császár;/people/person/place_of_birth;Budapest;5;Ákos Császár>Hungarian people>Hungary>Budapest
Dávid Kovács;/people/person/place_of_birth;Budapest;5;Dávid Kovács>Jobbik>European Union>Budapest
Ferenc Mérei;/people/person/place_of_birth;Budapest;5;Ferenc Mérei>Berlin>Budapest
Ilus Vay;/people/person/place_of_birth;Budapest;5;Ilus Vay>Szomszédok>Hungary>Budapest
Endre Csillag;/people/person/place_of_birth;Budapest;5;Endre Csillag>Hungary>Budapest
Csaba Őry;/people/person/place_of_birth;Budapest;5;Csaba Őry>European Union>Budapest
Elemér Terták;/people/person/place_of_birth;Budapest;5;Elemér Terták>Hungary>Budapest
Károly Varga;/people/person/place_of_birth;Budapest;5;Károly Varga>sport shooting>Cleveland>Budapest
Samuel Löw Brill;/people/person/place_of_birth;Budapest;5;Samuel Löw Brill>Prague>Budapest
Bódog Török;/people/person/place_of_birth;Budapest;5;Bódog Török>Hungary women's national handball team>Hungary>Budapest
George Clifford Sziklai;/people/person/place_of_birth;Budapest;5;George Clifford Sziklai>Hungary>Budapest
Elizabeth McClintock;/people/person/place_of_birth;Los Angeles;5;Elizabeth McClintock>California>Los Angeles
Danny LaPorte;/people/person/place_of_birth;Los Angeles;5;Danny LaPorte>United States>California>Los Angeles
Michael D. Rich;/people/person/place_of_birth;Los Angeles;-5;Michael D. Rich>RAND Corporation>Internet>Los Angeles
Carl W. Ernst;/people/person/place_of_birth;Los Angeles;5;Carl W. Ernst>Los Angeles, California>Los Angeles International Airport>Los Angeles
Roy Seawright;/people/person/place_of_birth;Los Angeles;5;Roy Seawright>Torrance, California>Los Angeles International Airport>Los Angeles
Chloe Franks;/people/person/place_of_birth;Los Angeles;5;Chloe Franks>Christopher Lee>London>Los Angeles
Elisa Kleven;/people/person/place_of_birth;Los Angeles;-5;Elisa Kleven>Thacher Hurd>Berkeley, California>Los Angeles
Russ Titelman;/people/person/place_of_birth;Los Angeles;5;Russ Titelman>George Harrison>Los Angeles
Phil Pardee;/people/person/place_of_birth;Los Angeles;5;Phil Pardee>Los Angeles, California>Los Angeles International Airport>Los Angeles
Teron Beal;/people/person/place_of_birth;Los Angeles;1;Teron Beal>Texas>Houston>Los Angeles
Anne Triola;/people/person/place_of_birth;Los Angeles;5;Anne Triola>Frank Sinatra>Los Angeles
Yehuda Hyman;/people/person/place_of_birth;Los Angeles;5;Yehuda Hyman>Poland>Hungarian language>Los Angeles
Max D. Adams;/people/person/place_of_birth;Los Angeles;5;Max D. Adams>United States>California>Los Angeles
2009–2011 detention of American hikers by Iran;/people/person/place_of_birth;Los Angeles;-3;2009–11 detention of American hikers by Iran>California>Los Angeles
Albert Braun;/people/person/place_of_birth;Los Angeles;-5;Albert Braun>teacher>Internet>Los Angeles
Harold Meyerson;/people/person/place_of_birth;Los Angeles;5;Harold Meyerson>California>Los Angeles
Bill Campbell (California politician);/people/person/place_of_birth;Los Angeles;5;Bill Campbell (California politician)>California>Los Angeles
Eric Bailey (basketball);/people/person/place_of_birth;Los Angeles;5;Eric Bailey (basketball)>National Basketball League (Australia)>Barcelona>Los Angeles
Michael Edelstein;/people/person/place_of_birth;Los Angeles;5;Michael Edelstein>Marc Cherry>California>Los Angeles
Kevin Kennedy (baseball);/people/person/place_of_birth;Los Angeles;5;Kevin Kennedy (baseball)>Los Angeles Dodgers>Los Angeles
Mentor Huebner;/people/person/place_of_birth;Los Angeles;5;Mentor Huebner>Blade Runner>Los Angeles
Robert Bradshaw (figure skater);/people/person/place_of_birth;Los Angeles;5;Robert Bradshaw (figure skater)>United States>California>Los Angeles
Norman L. Eisen;/people/person/place_of_birth;Los Angeles;5;Norman L. Eisen>United States Ambassador to the Czech Republic>Foreign relations of the Czech Republic>Los Angeles
Jolene Brand;/people/person/place_of_birth;Los Angeles;5;Jolene Brand>Los Angeles, California>Los Angeles International Airport>Los Angeles
Jesse Leon McCann;/people/person/place_of_birth;Los Angeles;5;Jesse Leon McCann was not a valid article
David Hammerstein Mintz;/people/person/place_of_birth;Los Angeles;5;David Hammerstein Mintz>Politics of Spain>Andalusia>Los Angeles
Andy Park (musician);/people/person/place_of_birth;Los Angeles;5;Andy Park (musician)>British Columbia>Los Angeles
Jimmy Greenspoon;/people/person/place_of_birth;Los Angeles;5;Jimmy Greenspoon>California>Los Angeles
Jack Aranson;/people/person/place_of_birth;Los Angeles;5;Jack Aranson>California>Los Angeles
